divname,divrating,plusminus,season,teamid,teamname,type,year,observed_ratings
JP Mixed (4/3),0.0,2.33333333333,Spring,29584,The Disc Also Rises (23),Hat,2010,140.0
JP Mixed (4/3),0.0,5.5,Spring,29476,Army of Darkness (24),Hat,2010,330.0
JP Mixed (4/3),0.0,3.0,Spring,29772,Flicks of Fury (41),Hat,2010,180.0
JP Mixed (4/3),0.0,-6.4,Spring,29773,Rejected (42),Hat,2010,-384.0
JP Mixed (4/3),0.0,6.4,Spring,29774,Snape kills Dumbledisc (43),Hat,2010,384.0
JP Mixed (4/3),0.0,-2.14285714286,Spring,29775,Hot Tub Time Machine (44),Hat,2010,-128.571428572
Waltham Coed,0.0,-1.85714285714,Spring,29477,Blade Runners (25),Hat,2010,-111.428571428
Waltham Coed,0.0,3.0,Spring,29478,The Exordisc! (26),Hat,2010,180.0
Waltham Coed,0.0,5.0,Spring,29479,Discy Business (27),Hat,2010,300.0
Waltham Coed,0.0,0.2,Spring,29480,Cool Handler Luke (28),Hat,2010,12.0
Waltham Coed,0.0,-0.4,Spring,29481,Dump Fiction (29),Hat,2010,-24.0
Waltham Coed,0.0,3.57142857143,Spring,29482,Ferris Buellers Lay Out (30),Hat,2010,214.285714286
Waltham Coed,0.0,-3.16666666667,Spring,29483,Field of Creams (31),Hat,2010,-190.0
Waltham Coed,0.0,-5.0,Spring,29484,Huck Soup (32),Hat,2010,-300.0
Waltham Coed,0.0,1.83333333333,Spring,29485,Redrum (33),Hat,2010,110.0
Waltham Coed,0.0,2.14285714286,Spring,29486,A Clockwork Orange (34),Hat,2010,128.571428572
Waltham Coed,0.0,-4.14285714286,Spring,29487,Good Will Hucking (35),Hat,2010,-248.571428572
Waltham Coed,0.0,-5.71428571429,Spring,29488,Huckopalypse Now (36),Hat,2010,-342.857142857
Waltham Coed,0.0,-3.0,Spring,29489,Invasion of the Disc Snatchers (37),Hat,2010,-180.0
Waltham Coed,0.0,7.42857142857,Spring,29490,Zone with the Wind (38),Hat,2010,445.714285714
Waltham Coed,0.0,-2.33333333333,Spring,29491,Dr Strangedisc (39),Hat,2010,-140.0
4/3 Div 1,1800.0,2.1,Summer,29690,BBN,Club,2010,1926.0
4/3 Div 1,1800.0,-0.285714285714,Summer,29709,Capture The Dream,Club,2010,1782.85714286
4/3 Div 1,1800.0,2.27272727273,Summer,29808,Demons,Club,2010,1936.36363636
4/3 Div 1,1800.0,1.625,Summer,29766,Elephantitus,Club,2010,1897.5
4/3 Div 1,1800.0,0.266666666667,Summer,29720,Flowchart,Club,2010,1816.0
4/3 Div 1,1800.0,-0.25,Summer,29712,GoThrilla,Club,2010,1785.0
4/3 Div 1,1800.0,4.0,Summer,29753,GrassBurner,Club,2010,2040.0
4/3 Div 1,1800.0,-2.2,Summer,29713,Lemoneers,Club,2010,1668.0
4/3 Div 1,1800.0,2.8,Summer,29719,Swingers,Club,2010,1968.0
4/3 Div 1,1800.0,-2.09090909091,Summer,29855,The Michigan,Club,2010,1674.54545455
4/3 Div 1,1800.0,2.94736842105,Summer,29820,wuwu,Club,2010,1976.84210526
4/3 Div 2,1400.0,-4.05882352941,Summer,29708,123 Frisbee,Club,2010,1156.47058824
4/3 Div 2,1400.0,-2.23529411765,Summer,29804,Double Run,Club,2010,1265.88235294
4/3 Div 2,1400.0,0.0,Summer,29722,Fetch,Club,2010,1400.0
4/3 Div 2,1400.0,-1.84210526316,Summer,29760,Hipster Kitties,Club,2010,1289.47368421
4/3 Div 2,1400.0,-0.263157894737,Summer,29703,JHOP,Club,2010,1384.21052632
4/3 Div 2,1400.0,-5.83333333333,Summer,29819,JP House of Frisbee,Club,2010,1050.0
4/3 Div 2,1400.0,2.2,Summer,29723,Live Poultry Fresh Killed,Club,2010,1532.0
4/3 Div 2,1400.0,2.93333333333,Summer,29815,Merge,Club,2010,1576.0
4/3 Div 2,1400.0,1.76470588235,Summer,29702,OTP,Club,2010,1505.88235294
4/3 Div 2,1400.0,-2.36363636364,Summer,29758,Pen Fifteen Club,Club,2010,1258.18181818
4/3 Div 2,1400.0,0.833333333333,Summer,29746,Skoosh,Club,2010,1450.0
4/3 Div 2,1400.0,4.18181818182,Summer,29455,Store Bought Dirt,Club,2010,1650.90909091
4/3 Div 2,1400.0,2.28571428571,Summer,29858,Suckwagon,Club,2010,1537.14285714
4/3 Div 2,1400.0,-3.0,Summer,29721,The Rebel Alliance,Club,2010,1220.0
4/3 Div 2,1400.0,-1.875,Summer,29707,Tubbs,Club,2010,1287.5
4/3 Div 3,1000.0,3.0,Summer,29850,Anteaters,Club,2010,1180.0
4/3 Div 3,1000.0,-3.48,Summer,29695,Aunt Jomamas Kung Fu Snafu,Club,2010,791.2
4/3 Div 3,1000.0,3.5625,Summer,29765,Baboon Heart,Club,2010,1213.75
4/3 Div 3,1000.0,-5.8,Summer,29830,Bilbo son of Bongo and the Frequent Fliers,Club,2010,652.0
4/3 Div 3,1000.0,-4.11111111111,Summer,29812,Deciders,Club,2010,753.333333333
4/3 Div 3,1000.0,-11.5,Summer,29845,Disc Jockeys,Club,2010,310.0
4/3 Div 3,1000.0,-4.66666666667,Summer,29811,Huck Buddies,Club,2010,720.0
4/3 Div 3,1000.0,-1.90909090909,Summer,29807,It's a Trap,Club,2010,885.454545455
4/3 Div 3,1000.0,-1.72727272727,Summer,29839,Rabbit Disk,Club,2010,896.363636364
4/3 Div 3,1000.0,-0.8125,Summer,29696,Spam,Club,2010,951.25
4/3 Div 3,1000.0,3.55555555556,Summer,29717,Toads,Club,2010,1213.33333333
5/2 Div 1,1700.0,1.90909090909,Summer,29843,Bacon,Club,2010,1814.54545455
5/2 Div 1,1700.0,8.22222222222,Summer,29754,Boom Strike,Club,2010,2193.33333333
5/2 Div 1,1700.0,-5.85714285714,Summer,29822,Eat Club,Club,2010,1348.57142857
5/2 Div 1,1700.0,6.125,Summer,29860,Fresh To Death,Club,2010,2067.5
5/2 Div 1,1700.0,-0.923076923077,Summer,29711,Hucky McThrowandcatch,Club,2010,1644.61538462
5/2 Div 1,1700.0,2.76923076923,Summer,29726,Stonecutters,Club,2010,1866.15384615
5/2 Div 1,1700.0,4.9,Summer,29693,Teenage Cavemen,Club,2010,1994.0
5/2 Div 1,1700.0,-1.09090909091,Summer,29817,Wey-Hi,Club,2010,1634.54545455
5/2 Div 1,1700.0,4.76470588235,Summer,29755,Zerg Rush!,Club,2010,1985.88235294
5/2 Div 2,1300.0,-5.14285714286,Summer,29718,Chow Box,Club,2010,991.428571428
5/2 Div 2,1300.0,-8.5,Summer,29840,D-PAIN,Club,2010,790.0
5/2 Div 2,1300.0,0.75,Summer,29756,Get Flat Ultimate,Club,2010,1345.0
5/2 Div 2,1300.0,1.2,Summer,29759,Hustle and Flow,Club,2010,1372.0
5/2 Div 2,1300.0,2.5,Summer,29852,JuJu Hex,Club,2010,1450.0
5/2 Div 2,1300.0,2.08333333333,Summer,29727,Maverick,Club,2010,1425.0
5/2 Div 2,1300.0,-2.5,Summer,29838,Sketchy,Club,2010,1150.0
5/2 Div 2,1300.0,-0.7,Summer,29813,Ultimate Showdown,Club,2010,1258.0
5/2 Div 2,1300.0,4.05263157895,Summer,29762,WHUF Shotguns,Club,2010,1543.15789474
5/2 Div 2,1300.0,0.909090909091,Summer,29832,WooTown,Club,2010,1354.54545455
5/2 Div 3,900.0,-2.83333333333,Summer,29821,Castaways,Club,2010,730.0
5/2 Div 3,900.0,-5.11111111111,Summer,29859,DraGons,Club,2010,593.333333333
